FORWARD_WALK,DASH,BACK_STEP,JUMP,FOR_JUMP,BACK_JUMP,STAND_GUARD,CROUCH_GUARD,AIR_GUARD,THROW_A,THROW_B,STAND_A,STAND_B,CROUCH_A,CROUCH_B,AIR_A,AIR_B,AIR_DA,AIR_DB,STAND_FA,STAND_FB,CROUCH_FA,CROUCH_FB,AIR_FA,AIR_FB,AIR_UA,AIR_UB,STAND_D_DF_FA,STAND_D_DF_FB,STAND_F_D_DFA,STAND_F_D_DFB,STAND_D_DB_BA,STAND_D_DB_BB,AIR_D_DF_FA,AIR_D_DF_FB,AIR_F_D_DFA,AIR_F_D_DFB,AIR_D_DB_BA,AIR_D_DB_BB,STAND_D_DF_FC,
0,0,0,3,3,3,0,0,0,0,1,1,6,2,2,7,10,3,1,1,1,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,3,3,3,0,0,0,1,1,18,19,3,5,10,13,0,2,5,8,1,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,3,3,2,0,0,0,0,1,10,17,3,2,3,3,0,3,4,6,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,


0,0,0,3,3,1,0,0,0,2,1,18,19,3,7,6,5,1,4,2,3,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,3,3,3,0,0,0,2,1,16,19,5,4,8,15,0,2,4,3,4,3,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,
0,0,1,3,3,3,0,0,0,4,2,14,17,6,1,14,3,1,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,


0,0,0,3,3,3,0,0,0,3,4,18,19,0,5,10,13,3,0,3,3,1,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,3,3,3,0,0,0,1,3,9,19,1,8,5,10,5,3,3,3,2,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,3,3,3,0,0,0,2,1,9,19,1,6,11,9,2,6,5,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
